NOUN	nom.sg,voc.sg	sol	soːl
NOUN	nom.sg,voc.sg	consul	koːnsul
NOUN	nom.sg,voc.sg	exul	eksul
NOUN	nom.sg,voc.sg	leo	leo
NOUN	nom.sg,voc.sg	dicio	dikio
NOUN	nom.sg,voc.sg	condicio	kondikio
NOUN	nom.sg,voc.sg	suspicio	suspiːkio
NOUN	nom.sg,voc.sg	legio	leɡio
NOUN	nom.sg,voc.sg	regio	reɡio
NOUN	nom.sg,voc.sg	religio	reliɡio
NOUN	nom.sg,voc.sg	opinio	opiːnio
NOUN	nom.sg,voc.sg	centurio	kenturio
NOUN	nom.sg,voc.sg	occasio	okkaːsio
NOUN	nom.sg,voc.sg	defensio	deːfeːnsio
NOUN	nom.sg,voc.sg	offensio	offeːnsio
NOUN	nom.sg,voc.sg	possessio	possessio
NOUN	nom.sg,voc.sg	legatio	leːɡaːtio
NOUN	nom.sg,voc.sg	contemplatio	kontemplaːtio
NOUN	nom.sg,voc.sg	adulatio	aduːlaːtio
NOUN	nom.sg,voc.sg	simulatio	simulaːtio
NOUN	nom.sg,voc.sg	natio	naːtio
NOUN	nom.sg,voc.sg	oppugnatio	oppuɡnaːtio
NOUN	nom.sg,voc.sg	dominatio	dominaːtio
NOUN	nom.sg,voc.sg	occupatio	okkupaːtio
NOUN	nom.sg,voc.sg	ratio	ratio
NOUN	nom.sg,voc.sg	moderatio	moderaːtio
NOUN	nom.sg,voc.sg	desperatio	deːspeːraːtio
NOUN	nom.sg,voc.sg	admiratio	admiːraːtio
NOUN	nom.sg,voc.sg	oratio	oːraːtio
NOUN	nom.sg,voc.sg	coniuratio	konjuːraːtio
NOUN	nom.sg,voc.sg	uersatio	wersaːtio
NOUN	nom.sg,voc.sg	exspectatio	ekspektaːtio
NOUN	nom.sg,voc.sg	cunctatio	kunktaːtio
NOUN	nom.sg,voc.sg	exercitatio	ekserkitaːtio
NOUN	nom.sg,voc.sg	cogitatio	koːɡitaːtio
NOUN	nom.sg,voc.sg	statio	statio
NOUN	nom.sg,voc.sg	mutatio	muːtaːtio
NOUN	nom.sg,voc.sg	disputatio	disputaːtio
NOUN	nom.sg,voc.sg	actio	aːktio
NOUN	nom.sg,voc.sg	defectio	deːfektio
NOUN	nom.sg,voc.sg	ambitio	ambitio
NOUN	nom.sg,voc.sg	deditio	deːditio
NOUN	nom.sg,voc.sg	seditio	seːditio
NOUN	nom.sg,voc.sg	largitio	larɡiːtio
NOUN	nom.sg,voc.sg	cognitio	koɡnitio
NOUN	nom.sg,voc.sg	admonitio	admonitio
NOUN	nom.sg,voc.sg	munitio	muːniːtio
NOUN	nom.sg,voc.sg	superstitio	superstitio
NOUN	nom.sg,voc.sg	ultio	ultio
NOUN	nom.sg,voc.sg	contentio	kontentio
NOUN	nom.sg,voc.sg	contio	kontio
NOUN	nom.sg,voc.sg	eruptio	eːruptio
NOUN	nom.sg,voc.sg	quaestio	kwajstio
NOUN	nom.sg,voc.sg	constitutio	koːnstituːtio
NOUN	nom.sg,voc.sg	obliuio	obliːwio
NOUN	nom.sg,voc.sg	sermo	sermo
NOUN	nom.sg,voc.sg	latro	latro
NOUN	nom.sg,voc.sg	procer	proker
NOUN	nom.sg,voc.sg	socer	soker
NOUN	nom.sg,voc.sg	carcer	karker
NOUN	nom.sg,voc.sg	agger	aɡɡer
NOUN	nom.sg,voc.sg	mulier	mulier
NOUN	nom.sg,voc.sg	gener	ɡener
NOUN	nom.sg,voc.sg	adulter	adulter
NOUN	nom.sg,voc.sg	puer	puer
NOUN	nom.sg,voc.sg	uir	wir
NOUN	nom.sg,voc.sg	arbor	arbor
NOUN	nom.sg,voc.sg	memor	memor
NOUN	acc.sg,nom.sg,voc.sg	lac	lak
NOUN	acc.sg,nom.sg,voc.sg	tribunal	tribuːnal
NOUN	acc.sg,nom.sg,voc.sg	mel	mel
NOUN	acc.sg,nom.sg,voc.sg	uerber	werber
NOUN	acc.sg,nom.sg,voc.sg	uber	uːber
NOUN	acc.sg,nom.sg,voc.sg	uer	weːr
NOUN	acc.sg,nom.sg,voc.sg	cadauer	kadaːwer
NOUN	acc.sg,nom.sg,voc.sg	cor	kor
NOUN	acc.sg,nom.sg,voc.sg	marmor	marmor
NOUN	acc.sg,nom.sg,voc.sg	aequor	ajkwor
NOUN	acc.sg,nom.sg,voc.sg	robur	roːbur
NOUN	acc.sg,nom.sg,voc.sg	murmur	murmur
NOUN	acc.sg,nom.sg,voc.sg	os1	os
